* Measurement data measured by REW V5.20.13
* Source: Umik-1  Gain: 18dB  , MICROPHONE, L, volume: 0.318. Timing signal peak level 0.0 dBFS, measurement signal peak level zero
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Aug 1, 2026 4:07:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ZMF Blackwood right
* Measurement: Blackwood R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 48.431 6.7359
0.732422 48.511 12.2911
1.098633 49.746 3.7209
1.464844 52.865 -25.6829
1.831055 58.219 -57.2375
2.197266 63.706 -79.1462
2.563477 68.321 -94.5172
2.929688 72.092 -106.1455
3.295898 75.228 -115.2642
3.662109 77.933 -122.5874
4.028320 80.357 -128.7675
4.394531 82.583 -134.4420
4.760742 84.632 -140.0897
5.126953 86.492 -145.9155
5.493164 88.145 -151.8715
5.859375 89.592 -157.7639
6.225586 90.853 -163.3695
6.591797 91.964 -168.5245
6.958008 92.971 -173.1778
7.324219 93.913 -177.4044
7.690430 94.817 178.6306
8.056641 95.690 174.7428
8.422852 96.523 170.8024
8.789062 97.300 166.7755
9.155273 98.007 162.7224
9.521484 98.641 158.7620
9.887695 99.211 155.0186
10.253906 99.461 151.5674
10.620117 99.493 148.3978
10.986328 99.557 145.4179
11.352539 99.652 142.5074
11.718750 99.764 139.5893
12.084961 99.876 136.6710
12.451172 99.980 133.8275
12.817383 100.077 131.1386
13.183594 100.179 128.6227
13.549805 100.297 126.2160
13.916016 100.427 123.8177
14.282227 100.554 121.3702
14.648438 100.662 118.9107
15.014648 100.744 116.5510
15.380859 100.810 114.3960
15.747070 100.882 112.4574
16.113281 100.973 110.6263
16.479492 101.082 108.7442
16.845703 101.187 106.7246
17.211914 101.262 104.6311
17.578125 101.298 102.6479
17.944336 101.312 100.9619
18.310547 101.342 99.6225
18.676758 101.420 98.4723
19.042969 101.553 97.2252
19.409180 101.714 95.6522
19.775391 101.858 93.7249
20.141602 101.955 91.6137
20.507812 101.998 89.5712
20.874023 102.008 87.7896
21.240234 102.019 86.3054
21.606445 102.052 85.0021
21.972656 102.109 83.7112
22.338867 102.175 82.3323
22.705078 102.231 80.8829
23.071289 102.268 79.4539
23.437500 102.291 78.1288
23.803711 102.311 76.9265
24.169922 102.337 75.8046
24.536133 102.369 74.7019
24.902344 102.401 73.5822
25.268555 102.427 72.4430
25.634766 102.442 71.3016
26.000977 102.443 70.1833
26.367188 102.430 69.1257
26.733398 102.405 68.1825
27.099609 102.377 67.4010
27.465820 102.363 66.7728
27.832031 102.378 66.1964
28.198242 102.422 65.5033
28.564453 102.473 64.5557
28.930664 102.499 63.3454
29.296875 102.473 62.0198
29.663086 102.388 60.8168
30.029297 102.260 59.9516
30.395508 102.121 59.5167
30.761719 101.999 59.4608
31.127930 101.908 59.6685
31.494141 101.844 60.0763
31.860352 101.809 60.7091
32.226562 101.823 61.5895
32.592773 101.914 62.5999
32.958984 102.094 63.4489
33.325195 102.340 63.8139
33.691406 102.599 63.5453
34.057617 102.819 62.7474
34.423828 102.972 61.6984
34.790039 103.061 60.6945
35.156250 103.117 59.9106
35.522461 103.174 59.3340
35.888672 103.250 58.8090
36.254883 103.340 58.1640
36.621094 103.421 57.3296
36.987305 103.471 56.3687
37.353516 103.483 55.4221
37.719727 103.464 54.6263
38.085938 103.430 54.0538
38.452148 103.400 53.7004
38.818359 103.387 53.5115
39.184570 103.395 53.4198
39.550781 103.428 53.3662
39.916992 103.483 53.3002
40.283203 103.559 53.1725
40.649414 103.651 52.9398
41.015625 103.749 52.5762
41.381836 103.847 52.0836
41.748047 103.937 51.4869
42.114258 104.016 50.8200
42.480469 104.081 50.1119
42.846680 104.134 49.3841
43.212891 104.172 48.6565
43.579102 104.196 47.9565
43.945312 104.206 47.3201
44.311523 104.206 46.7824
44.677734 104.204 46.3633
45.043945 104.206 46.0575
45.410156 104.221 45.8356
45.776367 104.251 45.6544
46.142578 104.296 45.4688
46.508789 104.355 45.2394
46.875000 104.424 44.9355
47.241211 104.496 44.5403
47.607422 104.564 44.0599
47.973633 104.622 43.5300
48.339844 104.671 43.0065
48.706055 104.714 42.5369
49.072266 104.764 42.1238
49.438477 104.827 41.7098
49.804688 104.902 41.2065
50.170898 104.977 40.5569
50.537109 105.035 39.7859
50.903320 105.067 38.9957
51.269531 105.080 38.3010
51.635742 105.093 37.7438
52.001953 105.123 37.2518
52.368164 105.171 36.6853
52.734375 105.221 35.9483
53.100586 105.252 35.0689
53.466797 105.255 34.1794
53.833008 105.241 33.4077
54.199219 105.233 32.7637
54.565430 105.247 32.1165
54.931641 105.271 31.3035
55.297852 105.278 30.2859
55.664062 105.243 29.2104
56.030273 105.169 28.3189
56.396484 105.091 27.7635
56.762695 105.052 27.4536
57.128906 105.069 27.0811
57.495117 105.113 26.3513
57.861328 105.129 25.2225
58.227539 105.074 23.9484
58.593750 104.948 22.9192
58.959961 104.793 22.4178
59.326172 104.674 22.4196
59.692383 104.630 22.5876
60.058594 104.645 22.5187
60.424805 104.669 22.0349
60.791016 104.651 21.2620
61.157227 104.577 20.4846
61.523438 104.463 19.9393
61.889648 104.343 19.6818
62.255859 104.240 19.5969
62.622070 104.155 19.5275
62.988281 104.071 19.4048
63.354492 103.975 19.2743
63.720703 103.866 19.2218
64.086914 103.754 19.2872
64.453125 103.647 19.4417
64.819336 103.546 19.6349
65.185547 103.445 19.8569
65.551758 103.341 20.1520
65.917969 103.238 20.5743
66.284180 103.150 21.1302
66.650391 103.088 21.7573
67.016602 103.051 22.3616
67.382812 103.029 22.8788
67.749023 103.012 23.3126
68.115234 102.990 23.7235
68.481445 102.967 24.1833
68.847656 102.953 24.7258
69.213867 102.958 25.3207
69.580078 102.988 25.8885
69.946289 103.037 26.3473
70.312500 103.092 26.6637
70.678711 103.141 26.8724
71.044922 103.180 27.0505
71.411133 103.215 27.2621
71.777344 103.257 27.5102
72.143555 103.314 27.7310
72.509766 103.382 27.8401
72.875977 103.449 27.7965
73.242188 103.501 27.6327
73.608398 103.531 27.4320
73.974609 103.545 27.2726
74.340820 103.552 27.1813
74.707031 103.559 27.1317
75.073242 103.565 27.0830
75.439453 103.565 27.0276
75.805664 103.554 27.0050
76.171875 103.535 27.0735
76.538086 103.518 27.2642
76.904297 103.512 27.5546
77.270508 103.523 27.8837
77.636719 103.549 28.1933
78.002930 103.582 28.4616
78.369141 103.617 28.7031
78.735352 103.656 28.9409
79.101562 103.700 29.1788
79.467773 103.751 29.3968
79.833984 103.808 29.5693
80.200195 103.865 29.6884
80.566406 103.919 29.7714
80.932617 103.970 29.8473
81.298828 104.019 29.9356
81.665039 104.072 30.0338
82.031250 104.130 30.1217
82.397461 104.191 30.1770
82.763672 104.254 30.1894
83.129883 104.314 30.1633
83.496094 104.372 30.1120
83.862305 104.426 30.0487
84.228516 104.478 29.9832
84.594727 104.529 29.9225
84.960938 104.579 29.8705
85.327148 104.631 29.8259
85.693359 104.688 29.7777
86.059570 104.748 29.7064
86.425781 104.811 29.5931
86.791992 104.872 29.4322
87.158203 104.927 29.2384
87.524414 104.975 29.0421
87.890625 105.017 28.8739
88.256836 105.059 28.7475
88.623047 105.104 28.6526
88.989258 105.156 28.5621
89.355469 105.212 28.4505
89.721680 105.269 28.3082
90.087891 105.324 28.1449
90.454102 105.378 27.9783
90.820312 105.431 27.8196
91.186523 105.486 27.6641
91.552734 105.545 27.4948
91.918945 105.605 27.2942
92.285156 105.665 27.0559
92.651367 105.722 26.7864
93.017578 105.775 26.4987
93.383789 105.825 26.2026
93.750000 105.872 25.8992
94.116211 105.917 25.5840
94.482422 105.959 25.2552
94.848633 105.996 24.9203
95.214844 106.029 24.5942
95.581055 106.058 24.2918
95.947266 106.087 24.0179
96.313477 106.120 23.7617
96.679688 106.156 23.5005
97.045898 106.196 23.2104
97.412109 106.234 22.8804
97.778320 106.267 22.5195
98.144531 106.292 22.1559
98.510742 106.311 21.8218
98.876953 106.327 21.5361
99.243164 106.347 21.2911
99.609375 106.372 21.0552
99.975586 106.403 20.7925
100.341797 106.432 20.4875
100.708008 106.455 20.1558
101.074219 106.472 19.8314
101.440430 106.484 19.5402
101.806641 106.498 19.2798
102.172852 106.515 19.0236
102.539062 106.532 18.7467
102.905273 106.546 18.4506
103.271484 106.554 18.1637
103.637695 106.559 17.9161
104.003906 106.566 17.7107
104.370117 106.579 17.5197
104.736328 106.597 17.3118
105.102539 106.615 17.0820
105.468750 106.631 16.8539
105.834961 106.648 16.6474
106.201172 106.671 16.4474
106.567383 106.698 16.2114
106.933594 106.723 15.9171
107.299805 106.737 15.6053
107.666016 106.738 15.3636
108.032227 106.742 15.2498
108.398438 106.765 15.2169
108.764648 106.812 15.1246
109.130859 106.865 14.8546
109.497070 106.899 14.4336
109.863281 106.899 14.0418
110.229492 106.882 13.8760
110.595703 106.887 13.9578
110.961914 106.944 14.0546
111.328125 107.036 13.8409
111.694336 107.112 13.1917
112.060547 107.117 12.3342
112.426758 107.044 11.7280
112.792969 106.950 11.7452
113.159180 106.924 12.3226
113.525391 107.018 12.8892
113.891602 107.190 12.7914
114.257812 107.335 11.8453
114.624023 107.363 10.4664
114.990234 107.260 9.3820
115.356445 107.102 9.1809
115.722656 107.016 9.8660
116.088867 107.085 10.7347
116.455078 107.269 10.9203
116.821289 107.446 10.1180
117.187500 107.509 8.7321
117.553711 107.433 7.5095
117.919922 107.284 7.0679
118.286133 107.174 7.4988
118.652344 107.187 8.2725
119.018555 107.309 8.6624
119.384766 107.453 8.3397
119.750977 107.537 7.5238
120.117188 107.540 6.6880
120.483398 107.501 6.1787
120.849609 107.478 5.9911
121.215820 107.495 5.8313
121.582031 107.531 5.4202
121.948242 107.537 4.7571
122.314453 107.486 4.1158
122.680664 107.398 3.8204
123.046875 107.327 3.9803
123.413086 107.325 4.3693
123.779297 107.396 4.5760
124.145508 107.497 4.3192
124.511719 107.570 3.6317
124.877930 107.584 2.7898
125.244141 107.547 2.1061
125.610352 107.496 1.7364
125.976562 107.470 1.6024
126.342773 107.482 1.4775
126.708984 107.516 1.1718
127.075195 107.539 0.6626
127.441406 107.531 0.0816
127.807617 107.496 -0.3978
128.173828 107.452 -0.6782
128.540039 107.422 -0.7891
128.906250 107.416 -0.8488
129.272461 107.429 -0.9744
129.638672 107.447 -1.2115
130.004883 107.457 -1.5287
130.371094 107.456 -1.8579
130.737305 107.448 -2.1456
131.103516 107.442 -2.3806
131.469727 107.445 -2.5968
131.835938 107.458 -2.8531
132.202148 107.475 -3.2034
132.568359 107.486 -3.6647
132.934570 107.480 -4.1996
133.300781 107.451 -4.7251
133.666992 107.405 -5.1508
134.033203 107.355 -5.4296
134.399414 107.315 -5.5880
134.765625 107.292 -5.7078
135.131836 107.282 -5.8654
135.498047 107.274 -6.0802
135.864258 107.264 -6.3159
136.230469 107.253 -6.5338
136.596680 107.250 -6.7449
136.962891 107.255 -7.0096
137.329102 107.261 -7.3801
137.695312 107.252 -7.8369
138.061523 107.224 -8.2871
138.427734 107.183 -8.6311
138.793945 107.148 -8.8469
139.160156 107.131 -9.0162
139.526367 107.131 -9.2593
139.892578 107.132 -9.6284
140.258789 107.117 -10.0616
140.625000 107.088 -10.4393
140.991211 107.059 -10.6959
141.357422 107.047 -10.8886
141.723633 107.053 -11.1503
142.089844 107.058 -11.5560
142.456055 107.037 -12.0259
142.822266 106.987 -12.3581
143.188477 106.933 -12.3813
143.554688 106.917 -12.1244
143.920898 106.966 -11.8558
144.287109 107.064 -11.9146
144.653320 107.159 -12.4567
145.019531 107.199 -13.3418
145.385742 107.159 -14.2231
145.751953 107.062 -14.7509
146.118164 106.959 -14.7787
146.484375 106.901 -14.4614
146.850586 106.905 -14.1448
147.216797 106.940 -14.1056
147.583008 106.961 -14.3682
147.949219 106.942 -14.7378
148.315430 106.886 -14.9772
148.681641 106.822 -14.9791
149.047852 106.778 -14.8208
149.414062 106.758 -14.6646
149.780273 106.747 -14.5994
150.146484 106.730 -14.5723
